status_tag,Cuisine,Ingredients,image,Url
3,青椒牛肉炒飯。簡易食譜,pepper;beef;soy sauce;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/242695/large_8fd87dc3083bb284.jpg,https://icook.tw/recipes/242695
7,親子丼,egg;water;soy sauce;chicken;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/210602/large_bf96323d9df2c766.jpg,https://icook.tw/recipes/210602
8,《簡易版》南瓜野菇燉飯～非常好吃！素食可,cream,https://tokyo-kitchen.icook.network/uploads/recipe/cover/205314/large_aa28075474307813.jpg,https://icook.tw/recipes/205314
2,味噌豬燉飯,egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/198741/large_3fa18c2486950717.jpg,https://icook.tw/recipes/198741
6,【自製叉燒飯】,soy sauce;pork;sugar;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/125034/large_bd1a18fc1e7d2892.jpg,https://icook.tw/recipes/125034
2,西炒飯拌紅酒燴牛肉,egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/122574/large_c2bbf26688c960e7.jpg,https://icook.tw/recipes/122574
2,7-11食材-豬肉味噌稀飯,chicken;pork;egg;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/116983/large_459867590ac131f6.jpg,https://icook.tw/recipes/116983
7,蛋香濃濃家常烘蛋湯(阿基師),egg;water;soy sauce;sugar;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/93856/large_65f42220e5800fa3.jpg,https://icook.tw/recipes/93856
2,起司烘蛋 / 蛋素,salt;egg;cream,https://tokyo-kitchen.icook.network/uploads/recipe/cover/92210/large_50884f763f613eb3.jpg,https://icook.tw/recipes/92210
1,果醬奶香酥餅,salt;sugar;flour;cream,https://tokyo-kitchen.icook.network/uploads/recipe/cover/51691/large_ab312f7b72193db9.jpg,https://icook.tw/recipes/51691
5,[Witi✿Kitchen]虎皮巧克力蛋糕捲,sugar;flour;egg;cream,https://tokyo-kitchen.icook.network/uploads/recipe/cover/51470/large_903165aa0618673d.jpg,https://icook.tw/recipes/51470
7,日式玉子燒 Tamago [趁熱品嚐],soy sauce;egg;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/26818/large_f67b0437c6684acf.jpg,https://icook.tw/recipes/26818
2,氣炸鍋炸茄子,oil;flour;egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/24794/large_cf0dd8513dff5366.jpg,https://icook.tw/recipes/24794
4,【以樂自然初食】蔥油餅簡單做,pepper;water;flour;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/21742/large_54c75cb0d9df254d.jpg,https://icook.tw/recipes/21742
2,♥我的手作料理♥ 虎皮豆腐,salt;flour;egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/15569/large_01fceda3abb04f6f.jpg,https://icook.tw/recipes/15569
3,薑黃丸子墨魚義大利麵,pepper;egg;water;soy sauce;pork;flour;onion;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/177631/large_545153c3b94e2111.jpg,https://icook.tw/recipes/177631
8,【鹿窯菇事】起士蕈菇風味培根鮮蔬義大利麵,cream,https://tokyo-kitchen.icook.network/uploads/recipe/cover/125789/large_c881e910ef273b38.jpg,https://icook.tw/recipes/125789
